OpenAlex ID,PDF URL,DRUID
https://openalex.org/W3178821884,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3178821884.pdf,druid:sd570xv3570
https://openalex.org/W3177985224,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.researchsquare.com/W3177985224.pdf,druid:sj791wz3123
https://openalex.org/W3021395141,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.medrxiv.org/W3021395141.pdf,druid:sq475wr5654
https://openalex.org/W4401176373,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W4401176373.pdf,druid:sv998xz8404
https://openalex.org/W3035272603,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3035272603.pdf,druid:sw902wx2411
https://openalex.org/W4385622138,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.biorxiv.org/W4385622138.pdf,druid:sz457xr1253
https://openalex.org/W4302282097,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.biorxiv.org/W4302282097.pdf,druid:tj190cc7867
https://openalex.org/W2982798447,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W2982798447.pdf,druid:tp180tj4365
https://openalex.org/W2887090792,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/osf.io/W2887090792.pdf,druid:ts170bm4901
https://openalex.org/W4247150207,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.researchsquare.com/W4247150207.pdf,druid:tx033hq3853
https://openalex.org/W3112265681,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.medrxiv.org/W3112265681.pdf,druid:vb749qk3646
https://openalex.org/W4286353196,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.researchsquare.com/W4286353196.pdf,druid:vd605mq3504
https://openalex.org/W3007313800,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.medrxiv.org/W3007313800.pdf,druid:vv703fs0823
https://openalex.org/W4245851024,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/osf.io/W4245851024.pdf,druid:vx966vb2602
https://openalex.org/W4401157222,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.biorxiv.org/W4401157222.pdf,druid:vy902bz5532
https://openalex.org/W3005397613,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3005397613.pdf,druid:wb233rd7257
https://openalex.org/W3116436840,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3116436840.pdf,druid:wg278mx6077
https://openalex.org/W4297341531,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.researchsquare.com/W4297341531.pdf,druid:wq745mn2633
https://openalex.org/W4226047880,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W4226047880.pdf,druid:wy700jz1197
https://openalex.org/W3023172980,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3023172980.pdf,druid:wz424mn2608
https://openalex.org/W3174061332,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.medrxiv.org/W3174061332.pdf,druid:xb043gc4872
https://openalex.org/W3199353954,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3199353954.pdf,druid:xh427hy1998
https://openalex.org/W4383550744,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.biorxiv.org/W4383550744.pdf,druid:xm178jz6024
https://openalex.org/W3205417062,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3205417062.pdf,druid:xn919my5309
https://openalex.org/W3025420576,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3025420576.pdf,druid:xs423ty1162
https://openalex.org/W4313482304,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/publikationen.ub.uni-frankfurt.de/W4313482304.pdf,druid:yg487ck7556
https://openalex.org/W2919371474,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.frbsf.org/W2919371474.pdf,druid:yg846np7137
https://openalex.org/W4292847294,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W4292847294.pdf,druid:yt687fq1143
https://openalex.org/W3040914334,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W3040914334.pdf,druid:yw726th5999
https://openalex.org/W2942725897,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/escholarship.mcgill.ca/W2942725897.pdf,druid:yx196vq5902
https://openalex.org/W3082965143,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/escholarship.org/W3082965143.pdf,druid:yx681dd4483
https://openalex.org/W4386513944,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/osf.io/W4386513944.pdf,druid:zc558cm6201
https://openalex.org/W2963628635,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/arxiv.org/W2963628635.pdf,druid:zd039fx2964
https://openalex.org/W3087573264,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/escholarship.org/W3087573264.pdf,druid:zv617qm5276
https://openalex.org/W4281556450,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/hal.science/W4281556450.pdf,druid:zz037jv3101
https://openalex.org/W4285702111,https://storage.cloud.google.com/cloud-ai-platform-e215f7f7-a526-4a66-902d-eb69384ef0c4/preprints/www.energy-proceedings.org/W4285702111.pdf,druid:zz376qy8109
